ID,1382,1385,1388,1391,1402
2801,اسفراین,اسفراین,اسفراین,اسفراین,اسفراین
2802,بجنورد,بجنورد,بجنورد,بجنورد,بجنورد
2803,,جاجرم,جاجرم,جاجرم,جاجرم
2804,,شیروان,شیروان,شیروان,شیروان
2805,,فاروج,فاروج,فاروج,فاروج
2806,,مانه وسملقان,مانه وسملقان,مانه وسملقان,سملقان
2807,,,گرمه,گرمه,گرمه
2808,,,,راز و جرگلان,راز و جرگلان
2809,شیروان,,,,بام و صفی آباد
2810,,,,,مانه
2824,جاجرم,,,,
2825,مانه و سملقان,,,,
2826,فاروج,,,,
