ID,1382,1385,1388,1391
2901,,بیرجند,بیرجند,بیرجند
2902,,درمیان,درمیان,درمیان
2903,بیرجند,سربیشه,سربیشه,سربیشه
2904,,قاینات,قاینات,قاینات
2905,,نهبندان,نهبندان,نهبندان
2906,,سرایان,سرایان,سرایان
2907,,فردوس,فردوس,فردوس
2908,,,بشرویه,بشرویه
2909,,,,زیرکوه
2910,,,,خوسف
2911,,,,طبس
2921,نهبندان,,,
2926,سربیشه,,,
2927,سرایان,,,
