ID,1355,1365,1370,1375,1376,1381,1382,1385,1388,1389,1398,1401
0701,اباده,اباده,اباده,اباده,اباده,اباده,اباده,آباده,آباده,آباده,آباده,آباده
0702,اصطهبانات,استهبان,استهبان,استهبان,استهبان,استهبان,استهبان,استهبان,استهبان,استهبان,استهبان,استهبان
0703,جهرم,اقلید,اقلید,اقلید,اقلید,اقلید,اقلید,اقلید,اقلید,اقلید,اقلید,اقلید
0704,داراب,جهرم,جهرم,جهرم,جهرم,جهرم,جهرم,جهرم,جهرم,جهرم,جهرم,جهرم
0705,شیراز,داراب,داراب,داراب,داراب,داراب,داراب,داراب,داراب,داراب,داراب,داراب
0706,فسا,سپیدان,سپیدان,سپیدان,سپیدان,سپیدان,سپیدان,سپیدان,سپیدان,سپیدان,سپیدان,سپیدان
0707,فیروزاباد,شیراز,شیراز,شیراز,شیراز,شیراز,شیراز,شیراز,شیراز,شیراز,شیراز,شیراز
0708,کازرون,فسا,فسا,فسا,فسا,فسا,فسا,فسا,فسا,فسا,فسا,فسا
0709,لار,فیروزاباد,فیروزاباد,فیروزاباد,فیروزاباد,فیروزاباد,فیروزآباد,فیروزآباد,فیروزآباد,فیروزآباد,فیروزآباد,فیروزآباد
0710,ممسنی,کازرون,کازرون,کازرون,کازرون,کازرون,کازرون,کازرون,کازرون,کازرون,کازرون,کازرون
0711,نیریز,لار,لار,لار,لار,لارستان,لارستان,لارستان,لارستان,لارستان,لارستان,لارستان
0712,مرودشت,مرودشت,مرودشت,مرودشت,مرودشت,مرودشت,مرودشت,مرودشت,مرودشت,مرودشت,مرودشت,مرودشت
0713,اقلید,ممسنی,ممسنی,ممسنی,ممسنی,ممسنی,ممسنی,ممسنی,ممسنی,ممسنی,ممسنی,ممسنی
0714,سپیدان (اردکان فارس),نی ریز,نی ریز,نی ریز,نی ریز,نی ریز,نی ریز,نی ریز,نی ریز,نی ریز,نی ریز,نی ریز
0715,,,لامرد,لامرد,لامرد,لامرد,لامرد,لامرد,لامرد,لامرد,لامرد,لامرد
0716,,,,بوانات,بوانات,بوانات,بوانات,بوانات,بوانات,بوانات,بوانات,بوانات
0717,,,,,ارسنجان,ارسنجان,ارسنجان,ارسنجان,ارسنجان,ارسنجان,ارسنجان,ارسنجان
0718,,,,,,خرم بید,خرم بید,خرم بید,خرم بید,خرم بید,خرم بید,خرم بید
0719,,,,,,زرین دشت,زرین دشت,زرین دشت,زرین دشت,زرین دشت,زرین دشت,زرین دشت
0720,,,,,,قیروکارزین,قیروکارزین,قیروکارزین,قیروکارزین,قیروکارزین,قیروکارزین,قیروکارزین
0721,,,,,,مهر,مهر,مهر,مهر,مهر,مهر,مهر
0722,,,,,,,فراشبند,فراشبند,فراشبند,فراشبند,فراشبند,فراشبند
0723,,,,,,,,پاسارگاد,پاسارگاد,پاسارگاد,پاسارگاد,پاسارگاد
0724,,,,,,,,خنج,خنج,خنج,خنج,خنج
0725,,,,,,,,,سروستان,سروستان,سروستان,سروستان
0726,,,,,,,,,رستم,رستم,رستم,رستم
0727,,,,,,,,,,گراش,گراش,گراش
0728,,,,,,,,,,کوار,کوار,کوار
0729,,,,,,,,,,خرامه,خرامه,خرامه
0730,,,,,,,,,,,زرقان,زرقان
0731,,,,,,,,,,,بیضا,بیضا
0732,,,,,,,,,,,سرچهان,سرچهان
0733,,,,,,,,,,,کوه چنار,کوه چنار
0734,,,,,,,,,,,خفر,خفر
0735,,,,,,,,,,,بختگان,بختگان
0736,,,,,,,,,,,اوز,اوز
0737,,,,,,,,,,,,جویم
