ID,1355,1365,1382,1385,1388,1389
0001,اراک,اراک,اراک,اراک,اراک,اراک
0002,تفرش,اشتیان,اشتیان,آشتیان,آشتیان,آشتیان
0003,تهران,تفرش,تفرش,تفرش,تفرش,تفرش
0004,خمین,خمین,خمین,خمین,خمین,خمین
0005,,دلیجان,دلیجان,دلیجان,دلیجان,دلیجان
0006,,ساوه,ساوه,ساوه,ساوه,ساوه
0007,ساوه,سربند,شازند(سربند),شازند,شازند,شازند
0008,شمیرانات,,,,,
0009,قم,محلات,محلات,محلات,محلات,محلات
0010,قزوین,,زرندیه,زرندیه,زرندیه,زرندیه
0011,کاشان,,کمیجان,کمیجان,کمیجان,کمیجان
0012,,,,,خنداب,خنداب
0013,محلات,,,,,فراهان
0014,کرج,,,,,
