ID,1355,1365,1370,1376,1382,1385,1388,1389,1402
0801,بافت,بافت,بافت,بافت,بافت,بافت,بافت,بافت,بافت
0802,بم,بم,بم,بم,بم,بم,بم,بم,بم
0803,جیرفت,جیرفت,جیرفت,جیرفت,جیرفت,جیرفت,جیرفت,جیرفت,جیرفت
0804,رفسنجان,رفسنجان,رفسنجان,رفسنجان,رفسنجان,رفسنجان,رفسنجان,رفسنجان,رفسنجان
0805,سیرجان,زرند,زرند,زرند,زرند,زرند,زرند,زرند,زرند
0806,کرمان,سیرجان,سیرجان,سیرجان,سیرجان,سیرجان,سیرجان,سیرجان,سیرجان
0807,زرند,شهربابک,شهربابک,شهربابک,شهربابک,شهربابک,شهربابک,شهربابک,شهربابک
0808,شهربابک,کرمان,کرمان,کرمان,کرمان,کرمان,کرمان,کرمان,کرمان
0809,,کهنوج,کهنوج,کهنوج,کهنوج,کهنوج,کهنوج,کهنوج,کهنوج
0810,,مشیز,بردسیر,بردسیر,بردسیر,بردسیر,بردسیر,بردسیر,بردسیر
0811,,,,راور,راور,راور,راور,راور,راور
0812,,,,,عنبرآباد,عنبرآباد,عنبرآباد,عنبرآباد,عنبرآباد
0813,,,,,منوجان,منوجان,منوجان,منوجان,منوجان
0814,,,,,,کوهبنان,کوهبنان,کوهبنان,کوهبنان
0815,,,,,,رودبارجنوب,رودبارجنوب,رودبارجنوب,رودبارجنوب
0816,,,,,,قلعه گنج,قلعه گنج,قلعه گنج,قلعه گنج
0817,,,,,,,ریگان,ریگان,ریگان
0818,,,,,,,رابر,رابر,رابر
0819,,,,,,,فهرج,فهرج,فهرج
0820,,,,,,,انار,انار,انار
0821,,,,,,,,نرماشیر,نرماشیر
0822,,,,,,,,فاریاب,فاریاب
0823,,,,,,,,ارزوییه,ارزوییه
0824,,,,,,,,,گنبکی
0825,,,,,,,,,جازموریان
