ID,1355,1365,1370,1376,1382,1385,1388,1392,1400
1001,اردستان,اردستان,اردستان,اردستان,اردستان,اردستان,اردستان,اردستان,اردستان
1002,اصفهان,اصفهان,اصفهان,اصفهان,اصفهان,اصفهان,اصفهان,اصفهان,اصفهان
1003,سمیرم,خمینی شهر,خمینی شهر,خمینی شهر,خمینی شهر,خمینی شهر,خمینی شهر,خمینی شهر,خمینی شهر
1004,شهرضا,خوانسار,خوانسار,خوانسار,خوانسار,خوانسار,خوانسار,خوانسار,خوانسار
1005,فریدن,سمیرم,سمیرم,سمیرم,سمیرم,سمیرم,سمیرم,سمیرم,سمیرم
1006,گلپایگان,فریدن,فریدن,فریدن,فریدن,فریدن,فریدن,فریدن,فریدن
1007,نجف اباد,فریدونشهر,فریدونشهر,فریدونشهر,فریدونشهر,فریدونشهر,فریدونشهر,فریدونشهر,فریدونشهر
1008,نایین,فلاورجان,فلاورجان,فلاورجان,فلاورجان,فلاورجان,فلاورجان,فلاورجان,فلاورجان
1009,نطنز,قمشه,شهرضا,شهرضا,شهرضا,شهرضا,شهرضا,شهرضا,شهرضا
1010,لنجان,کاشان,کاشان,کاشان,کاشان,کاشان,کاشان,کاشان,کاشان
1011,,گلپایگان,گلپایگان,گلپایگان,گلپایگان,گلپایگان,گلپایگان,گلپایگان,گلپایگان
1012,,لنجان,لنجان,لنجان,لنجان,لنجان,لنجان,لنجان,لنجان
1013,,نایین,نایین,نایین,نایین,نایین,نایین,نایین,نایین
1014,,نجف اباد,نجف اباد,نجف اباد,نجف اباد,نجف آباد,نجف آباد,نجف آباد,نجف آباد
1015,,نطنز,نطنز,نطنز,نطنز,نطنز,نطنز,نطنز,نطنز
1016,,,برخوارومیمه,برخوارومیمه,برخوارومیمه,برخوارومیمه,شاهین شهرومیمه,شاهین شهرومیمه,شاهین شهرو میمه
1017,,,مبارکه,مبارکه,مبارکه,مبارکه,مبارکه,مبارکه,مبارکه
1018,,,,اران و بیدگل,اران و بیدگل,آران وبیدگل,آران وبیدگل,آران وبیدگل,آران و بیدگل
1019,,,,تیران وکرون,تیران وکرون,تیران وکرون,تیران وکرون,تیران وکرون,تیران وکرون
1020,,,,,چادگان,چادگان,چادگان,چادگان,چادگان
1021,,,,,,سمیرم سفلی,دهاقان,دهاقان,دهاقان
1022,,,,,,,برخوار,برخوار,برخوار
1023,,,,,,,خور و بیابانک,خور و بیابانک,خور و بیابانک
1024,,,,,,,,بو یین و میاندشت,بویین و میاندشت
1025,,,,,,,,,کوهپایه
1026,,,,,,,,,جرقویه
1027,,,,,,,,,ورزنه
1028,,,,,,,,,هرند
