ID,1355,1365,1388,1391
2001,دامغان,دامغان,دامغان,دامغان
2002,سمنان,سمنان,سمنان,سمنان
2003,شاهرود,شاهرود,شاهرود,شاهرود
2004,دماوند,گرمسار,گرمسار,گرمسار
2005,گرمسار,,مهدی شهر,مهدی شهر
2006,ورامین,,,آرادان
2007,,,,میامی
2008,,,,سرخه
