ID,1355,1365,1370,1381,1385,1389,1391,1398
1701,بویراحمد سردسیر,بویراحمدسردسیر,بویراحمد,بویراحمد,بویراحمد,بویراحمد,بویراحمد,بویراحمد
1702,کهکیلویه,کهگیلویه,کهگیلویه,کهگیلویه,کهگیلویه,کهگیلویه,کهگیلویه,کهگیلویه
1703,گچساران,گچساران,گچساران,گچساران,گچساران,گچساران,گچساران,گچساران
1704,,,,دنا,دنا,دنا,دنا,دنا
1705,,,,,بهمیی,بهمیی,بهمیی,بهمیی
1706,,,,,,چرام,چرام,چرام
1707,,,,,,باشت,باشت,باشت
1708,,,,,,,لنده,لنده
1709,,,,,,,,مارگون
